date,sku_name,category,quantity,final_price,is_promo,weekday
2023-11-20,Leite Meio Gordo,Lacticínios,50,0.96,0,0
2023-07-27,Azeite Virgem,Mercearia,47,8.68,0,3
2023-03-31,Café Grão,Mercearia,72,10.23,1,4
2023-04-25,Café Grão,Mercearia,26,14.17,0,1
2023-11-13,Leite Meio Gordo,Lacticínios,44,1.03,0,0
2023-09-15,Manteiga,Lacticínios,51,2.56,0,4
2023-08-20,Manteiga,Lacticínios,64,2.24,1,6
2023-09-02,Bolachas Maria,Mercearia,95,0.66,1,5
2023-08-05,Cerveja Pack 6,Bebidas,69,5.75,0,5
2023-03-22,Detergente Roupa,Limpeza,71,11.46,1,2
2023-07-18,Arroz Agulha,Mercearia,50,1.4,0,1
2023-07-26,Detergente Roupa,Limpeza,27,18.36,0,2
2023-04-08,Azeite Virgem,Mercearia,53,7.85,0,5
2023-07-17,Cerveja Pack 6,Bebidas,44,6.28,0,0
2023-08-24,Detergente Roupa,Limpeza,70,10.67,1,3
2023-09-14,Azeite Virgem,Mercearia,35,8.53,0,3
2023-04-18,Manteiga,Lacticínios,46,2.84,0,1
2023-04-19,Cerveja Pack 6,Bebidas,30,6.55,0,2
2023-04-11,Arroz Agulha,Mercearia,58,1.02,0,1
2023-04-24,Arroz Agulha,Mercearia,48,1.06,0,0
2023-11-15,Café Grão,Mercearia,62,10.35,1,2
2023-10-11,Detergente Roupa,Limpeza,44,16.1,0,2
2023-05-23,Detergente Roupa,Limpeza,55,14.92,0,1
2023-03-29,Cerveja Pack 6,Bebidas,75,4.39,1,2
2023-02-27,Cerveja Pack 6,Bebidas,41,5.8,0,0
2023-11-04,Detergente Roupa,Limpeza,128,9.02,1,5
2023-06-27,Cerveja Pack 6,Bebidas,49,6.05,0,1
2023-01-30,Arroz Agulha,Mercearia,41,1.13,0,0
2023-03-27,Café Grão,Mercearia,25,15.8,0,0
2023-04-06,Azeite Virgem,Mercearia,64,7.31,0,3
2023-11-30,Cerveja Pack 6,Bebidas,57,5.57,0,3
2023-11-06,Café Grão,Mercearia,56,9.32,1,0
2023-06-14,Azeite Virgem,Mercearia,37,6.6,1,2
2023-01-27,Leite Meio Gordo,Lacticínios,38,0.78,1,4
2023-12-15,Cerveja Pack 6,Bebidas,33,6.83,0,4
2023-07-03,Leite Meio Gordo,Lacticínios,60,0.78,1,0
2023-03-15,Detergente Roupa,Limpeza,56,13.57,0,2
2023-11-05,Manteiga,Lacticínios,63,2.54,0,6
2023-09-14,Arroz Agulha,Mercearia,50,0.92,1,3
2023-06-13,Bolachas Maria,Mercearia,56,0.91,1,1
2023-12-29,Arroz Agulha,Mercearia,56,0.63,1,4
2023-12-20,Bolachas Maria,Mercearia,65,0.94,1,2
2023-06-01,Cerveja Pack 6,Bebidas,54,5.37,1,3
2023-08-28,Leite Meio Gordo,Lacticínios,55,0.69,1,0
2023-01-02,Cerveja Pack 6,Bebidas,34,6.48,0,0
2023-03-16,Cerveja Pack 6,Bebidas,90,4.85,1,3
2023-06-10,Leite Meio Gordo,Lacticínios,61,1.08,0,5
2023-07-16,Cerveja Pack 6,Bebidas,59,5.69,0,6
2023-05-19,Azeite Virgem,Mercearia,38,8.62,0,4
2023-07-08,Detergente Roupa,Limpeza,41,17.06,0,5
2023-05-30,Manteiga,Lacticínios,50,2.19,1,1
2023-01-09,Azeite Virgem,Mercearia,45,7.65,0,0
2023-12-15,Cerveja Pack 6,Bebidas,23,7.43,0,4
2023-04-09,Detergente Roupa,Limpeza,54,15.8,0,6
2023-06-06,Arroz Agulha,Mercearia,52,0.86,1,1
2023-05-04,Café Grão,Mercearia,34,13.66,0,3
2023-01-16,Manteiga,Lacticínios,42,2.79,0,0
2023-06-26,Detergente Roupa,Limpeza,17,19.66,0,0
2023-12-27,Arroz Agulha,Mercearia,65,1.04,0,2
2023-09-24,Café Grão,Mercearia,49,14.08,0,6
2023-08-25,Detergente Roupa,Limpeza,59,14.78,0,4
2023-01-02,Detergente Roupa,Limpeza,30,17.51,0,0
2023-02-14,Bolachas Maria,Mercearia,37,1.31,0,1
2023-09-02,Manteiga,Lacticínios,61,2.69,0,5
2023-11-08,Azeite Virgem,Mercearia,56,7.69,0,2
2023-11-09,Arroz Agulha,Mercearia,42,1.09,0,3
2023-04-08,Azeite Virgem,Mercearia,50,10.12,0,5
2023-09-26,Arroz Agulha,Mercearia,46,1.36,0,1
2023-07-18,Azeite Virgem,Mercearia,58,5.96,1,1
2023-03-03,Azeite Virgem,Mercearia,58,8.38,0,4
2023-01-31,Arroz Agulha,Mercearia,55,0.93,1,1
2023-09-14,Manteiga,Lacticínios,38,3.21,0,3
2023-02-14,Azeite Virgem,Mercearia,61,5.69,1,1
2023-10-26,Bolachas Maria,Mercearia,52,1.22,0,3
2023-07-20,Leite Meio Gordo,Lacticínios,50,0.81,0,3
2023-06-10,Manteiga,Lacticínios,44,2.21,1,5
2023-06-11,Manteiga,Lacticínios,51,2.89,0,6
2023-05-16,Cerveja Pack 6,Bebidas,60,5.37,1,1
2023-09-11,Azeite Virgem,Mercearia,47,8.87,0,0
2023-06-02,Café Grão,Mercearia,36,13.65,0,4
2024-01-01,Azeite Virgem,Mercearia,56,7.97,0,0
2023-07-08,Café Grão,Mercearia,61,12.31,0,5
2023-11-30,Arroz Agulha,Mercearia,46,0.9,1,3
2023-03-02,Bolachas Maria,Mercearia,33,1.39,0,3
2023-07-23,Arroz Agulha,Mercearia,68,1.2,0,6
2023-08-05,Café Grão,Mercearia,39,14.19,0,5
2023-05-19,Leite Meio Gordo,Lacticínios,53,0.94,0,4
2023-04-08,Cerveja Pack 6,Bebidas,53,6.66,0,5
2023-12-12,Bolachas Maria,Mercearia,33,1.4,0,1
2024-01-01,Café Grão,Mercearia,54,11.05,0,0
2023-09-16,Azeite Virgem,Mercearia,74,6.31,1,5
2023-10-19,Café Grão,Mercearia,43,13.06,0,3
2023-11-13,Leite Meio Gordo,Lacticínios,43,1.03,0,0
2023-11-09,Café Grão,Mercearia,67,10.78,1,3
2023-10-30,Café Grão,Mercearia,45,12.1,0,0
2023-02-22,Cerveja Pack 6,Bebidas,39,6.15,0,2
2023-01-20,Azeite Virgem,Mercearia,54,6.19,1,4
2023-11-26,Cerveja Pack 6,Bebidas,57,6.42,0,6
2023-02-13,Bolachas Maria,Mercearia,49,1.19,0,0
2023-04-30,Manteiga,Lacticínios,88,1.67,1,6
2023-06-21,Arroz Agulha,Mercearia,53,1.35,0,2
2023-05-08,Manteiga,Lacticínios,59,2.52,0,0
2023-04-26,Azeite Virgem,Mercearia,59,7.71,0,2
2023-11-12,Bolachas Maria,Mercearia,64,1.29,0,6
2023-10-17,Leite Meio Gordo,Lacticínios,43,0.87,0,1
2023-08-02,Arroz Agulha,Mercearia,49,1.2,0,2
2023-07-16,Café Grão,Mercearia,69,12.12,0,6
2023-07-07,Detergente Roupa,Limpeza,57,13.59,0,4
2023-03-20,Leite Meio Gordo,Lacticínios,38,1.23,0,0
2023-03-21,Azeite Virgem,Mercearia,45,9.53,0,1
2023-02-10,Bolachas Maria,Mercearia,56,1.24,0,4
2023-03-05,Cerveja Pack 6,Bebidas,40,6.69,0,6
2023-09-16,Manteiga,Lacticínios,60,2.03,1,5
2023-10-07,Café Grão,Mercearia,45,12.8,0,5
2023-11-22,Leite Meio Gordo,Lacticínios,55,0.96,0,2
2023-06-08,Cerveja Pack 6,Bebidas,37,6.85,0,3
2023-09-27,Café Grão,Mercearia,31,13.36,0,2
2023-10-14,Bolachas Maria,Mercearia,61,1.23,0,5
2023-10-02,Leite Meio Gordo,Lacticínios,36,1.17,0,0
2023-03-26,Manteiga,Lacticínios,45,2.93,0,6
2023-07-12,Detergente Roupa,Limpeza,32,18.03,0,2
2023-12-09,Leite Meio Gordo,Lacticínios,66,1.08,0,5
2023-03-23,Leite Meio Gordo,Lacticínios,44,0.8,1,3
2023-07-24,Arroz Agulha,Mercearia,38,0.98,1,0
2023-03-06,Detergente Roupa,Limpeza,26,17.77,0,0
2023-10-27,Café Grão,Mercearia,52,12.53,0,4
2023-08-26,Bolachas Maria,Mercearia,98,0.93,1,5
2023-01-09,Leite Meio Gordo,Lacticínios,49,0.89,0,0
2023-01-24,Azeite Virgem,Mercearia,48,8.43,0,1
2023-05-01,Manteiga,Lacticínios,41,2.83,0,0
2023-11-23,Leite Meio Gordo,Lacticínios,55,0.84,0,3
2023-10-09,Cerveja Pack 6,Bebidas,40,7.09,0,0
2023-12-29,Detergente Roupa,Limpeza,66,13.96,0,4
2023-11-08,Café Grão,Mercearia,48,12.05,0,2
2023-09-02,Azeite Virgem,Mercearia,56,7.4,0,5
2023-11-24,Leite Meio Gordo,Lacticínios,39,0.94,0,4
2023-07-13,Café Grão,Mercearia,43,14.09,0,3
2023-04-13,Manteiga,Lacticínios,36,3.21,0,3
2023-10-31,Cerveja Pack 6,Bebidas,24,7.42,0,1
2023-01-15,Leite Meio Gordo,Lacticínios,60,0.89,0,6
2023-10-26,Detergente Roupa,Limpeza,37,16.96,0,3
2023-06-08,Café Grão,Mercearia,63,11.92,0,3
2023-05-27,Cerveja Pack 6,Bebidas,75,5.23,1,5
2023-03-27,Detergente Roupa,Limpeza,33,17.44,0,0
2023-10-12,Manteiga,Lacticínios,44,2.88,0,3
2023-08-21,Manteiga,Lacticínios,43,2.32,0,0
2023-07-30,Bolachas Maria,Mercearia,41,1.33,0,6
2023-02-15,Cerveja Pack 6,Bebidas,45,6.56,0,2
2023-02-21,Detergente Roupa,Limpeza,47,14.95,0,1
2023-02-09,Manteiga,Lacticínios,41,2.51,0,3
2023-02-15,Leite Meio Gordo,Lacticínios,40,0.86,0,2
2023-07-05,Manteiga,Lacticínios,46,2.96,0,2
2023-08-25,Cerveja Pack 6,Bebidas,59,6.14,0,4
2023-12-11,Arroz Agulha,Mercearia,48,0.98,1,0
2023-03-23,Detergente Roupa,Limpeza,51,14.78,0,3
2023-01-28,Detergente Roupa,Limpeza,31,17.47,0,5
2023-08-31,Bolachas Maria,Mercearia,52,0.97,1,3
2023-06-03,Bolachas Maria,Mercearia,46,1.26,0,5
2023-01-22,Café Grão,Mercearia,58,11.86,0,6
2023-06-06,Café Grão,Mercearia,49,12.71,0,1
2023-01-31,Café Grão,Mercearia,42,12.37,0,1
2023-10-13,Bolachas Maria,Mercearia,40,1.29,0,4
2023-09-03,Leite Meio Gordo,Lacticínios,47,0.83,0,6
2023-10-27,Arroz Agulha,Mercearia,54,0.89,1,4
2023-08-26,Leite Meio Gordo,Lacticínios,62,0.98,0,5
2023-12-03,Manteiga,Lacticínios,41,2.56,0,6
2023-11-22,Leite Meio Gordo,Lacticínios,59,0.87,0,2
2023-01-19,Detergente Roupa,Limpeza,61,12.04,1,3
2023-06-23,Manteiga,Lacticínios,65,2.59,0,4
2023-08-09,Azeite Virgem,Mercearia,40,9.11,0,2
2023-03-20,Azeite Virgem,Mercearia,42,9.75,0,0
2023-01-27,Detergente Roupa,Limpeza,27,17.48,0,4
2023-05-16,Cerveja Pack 6,Bebidas,45,5.78,0,1
2023-08-25,Azeite Virgem,Mercearia,58,5.99,1,4
2023-05-03,Azeite Virgem,Mercearia,39,10.02,0,2
2023-10-21,Manteiga,Lacticínios,81,1.96,1,5
2023-08-28,Café Grão,Mercearia,47,12.89,0,0
2023-01-23,Manteiga,Lacticínios,32,3.24,0,0
2023-05-27,Azeite Virgem,Mercearia,65,7.86,0,5
2023-04-10,Manteiga,Lacticínios,53,2.42,0,0
2023-01-04,Arroz Agulha,Mercearia,48,0.88,1,2
2023-08-30,Café Grão,Mercearia,43,12.6,0,2
2023-04-20,Bolachas Maria,Mercearia,70,1.26,0,3
2023-04-21,Azeite Virgem,Mercearia,40,8.47,0,4
2023-11-07,Azeite Virgem,Mercearia,48,8.83,0,1
2023-07-06,Azeite Virgem,Mercearia,65,6.87,1,3
2023-09-05,Manteiga,Lacticínios,45,2.15,1,1
2023-07-19,Manteiga,Lacticínios,53,1.96,1,2
2023-07-17,Arroz Agulha,Mercearia,53,1.07,0,0
2023-12-14,Leite Meio Gordo,Lacticínios,58,1.03,0,3
2023-10-19,Arroz Agulha,Mercearia,43,1.23,0,3
2023-10-21,Cerveja Pack 6,Bebidas,65,6.04,0,5
2023-10-26,Café Grão,Mercearia,40,13.27,0,3
2023-10-17,Leite Meio Gordo,Lacticínios,49,0.77,1,1
2023-06-28,Bolachas Maria,Mercearia,52,1.16,0,2
2023-06-27,Bolachas Maria,Mercearia,70,0.87,1,1
2023-03-07,Cerveja Pack 6,Bebidas,42,6.73,0,1
2023-08-27,Manteiga,Lacticínios,49,2.63,0,6
2023-08-05,Cerveja Pack 6,Bebidas,62,5.53,0,5
2023-03-03,Café Grão,Mercearia,36,13.73,0,4
2023-08-10,Leite Meio Gordo,Lacticínios,59,0.91,0,3
2023-11-22,Arroz Agulha,Mercearia,52,1.05,0,2
2023-02-01,Manteiga,Lacticínios,38,2.28,0,2
2023-11-24,Manteiga,Lacticínios,51,2.96,0,4
2023-07-30,Azeite Virgem,Mercearia,55,8.7,0,6
2023-05-25,Manteiga,Lacticínios,56,2.15,1,3
2023-01-06,Detergente Roupa,Limpeza,64,13.65,0,4
2023-01-16,Manteiga,Lacticínios,59,2.62,0,0
2023-07-29,Cerveja Pack 6,Bebidas,61,5.96,0,5
2023-07-29,Detergente Roupa,Limpeza,34,16.35,0,5
2023-04-07,Azeite Virgem,Mercearia,55,6.35,1,4
2023-12-14,Leite Meio Gordo,Lacticínios,38,0.89,0,3
2023-10-26,Leite Meio Gordo,Lacticínios,40,0.83,0,3
2023-10-29,Cerveja Pack 6,Bebidas,48,6.2,0,6
2023-06-15,Café Grão,Mercearia,37,11.58,0,3
2023-10-07,Detergente Roupa,Limpeza,74,14.08,0,5
2023-01-22,Leite Meio Gordo,Lacticínios,70,0.7,1,6
2023-08-25,Azeite Virgem,Mercearia,47,7.28,0,4
2023-05-13,Arroz Agulha,Mercearia,45,1.23,0,5
2023-11-17,Azeite Virgem,Mercearia,39,6.96,1,4
2023-09-09,Cerveja Pack 6,Bebidas,60,5.62,0,5
2024-01-01,Bolachas Maria,Mercearia,57,1.0,1,0
2023-04-24,Azeite Virgem,Mercearia,43,9.1,0,0
2023-10-13,Arroz Agulha,Mercearia,46,1.37,0,4
2023-08-17,Café Grão,Mercearia,47,14.22,0,3
2023-08-30,Manteiga,Lacticínios,59,1.67,1,2
2023-04-22,Detergente Roupa,Limpeza,54,15.77,0,5
2023-08-05,Bolachas Maria,Mercearia,73,1.05,1,5
2023-01-07,Leite Meio Gordo,Lacticínios,50,1.14,0,5
2023-07-29,Arroz Agulha,Mercearia,57,0.95,1,5
2023-05-28,Manteiga,Lacticínios,61,2.82,0,6
2023-11-27,Arroz Agulha,Mercearia,50,1.11,0,0
2023-12-29,Arroz Agulha,Mercearia,50,1.07,0,4
2023-10-14,Manteiga,Lacticínios,57,2.44,0,5
2023-07-09,Arroz Agulha,Mercearia,60,1.12,0,6
2023-12-11,Arroz Agulha,Mercearia,56,1.16,0,0
2023-03-21,Café Grão,Mercearia,58,9.6,1,1
2023-03-31,Azeite Virgem,Mercearia,44,8.26,0,4
2023-01-13,Azeite Virgem,Mercearia,54,8.36,0,4
2023-10-19,Azeite Virgem,Mercearia,59,7.31,0,3
2023-10-08,Cerveja Pack 6,Bebidas,42,7.2,0,6
2023-03-19,Cerveja Pack 6,Bebidas,33,6.55,0,6
2023-12-11,Detergente Roupa,Limpeza,39,16.67,0,0
2023-07-27,Bolachas Maria,Mercearia,41,1.19,0,3
2023-09-06,Café Grão,Mercearia,64,8.98,1,2
2023-10-08,Cerveja Pack 6,Bebidas,85,4.87,1,6
2023-04-08,Leite Meio Gordo,Lacticínios,49,1.03,0,5
2023-04-17,Cerveja Pack 6,Bebidas,40,5.94,0,0
2023-01-14,Detergente Roupa,Limpeza,88,13.02,1,5
2023-09-08,Leite Meio Gordo,Lacticínios,61,0.93,0,4
2023-04-02,Manteiga,Lacticínios,44,2.56,0,6
2023-06-17,Arroz Agulha,Mercearia,57,1.18,0,5
2023-01-03,Azeite Virgem,Mercearia,42,9.8,0,1
2023-01-20,Cerveja Pack 6,Bebidas,39,6.38,0,4
2023-03-01,Bolachas Maria,Mercearia,38,1.33,0,2
2023-05-02,Arroz Agulha,Mercearia,42,1.13,0,1
2023-10-18,Cerveja Pack 6,Bebidas,56,6.1,0,2
2023-11-02,Cerveja Pack 6,Bebidas,34,6.52,0,3
2023-06-01,Arroz Agulha,Mercearia,49,1.04,0,3
2023-06-01,Detergente Roupa,Limpeza,69,13.83,0,3
2023-06-10,Bolachas Maria,Mercearia,52,1.24,0,5
2023-09-12,Arroz Agulha,Mercearia,37,1.5,0,1
2023-02-11,Azeite Virgem,Mercearia,54,8.66,0,5
2023-06-23,Detergente Roupa,Limpeza,28,16.35,0,4
2023-11-29,Detergente Roupa,Limpeza,32,17.48,0,2
2023-10-14,Cerveja Pack 6,Bebidas,83,5.32,1,5
2023-02-21,Cerveja Pack 6,Bebidas,54,6.33,0,1
2023-01-06,Café Grão,Mercearia,51,11.05,0,4
2023-09-20,Manteiga,Lacticínios,49,2.53,0,2
2023-12-24,Manteiga,Lacticínios,60,2.49,0,6
2024-01-01,Detergente Roupa,Limpeza,53,15.32,0,0
2023-10-08,Leite Meio Gordo,Lacticínios,49,0.93,0,6
2023-03-16,Arroz Agulha,Mercearia,48,1.14,0,3
2023-12-12,Cerveja Pack 6,Bebidas,80,4.39,1,1
2023-05-10,Bolachas Maria,Mercearia,62,0.92,1,2
2023-09-30,Café Grão,Mercearia,60,12.42,0,5
2023-06-03,Manteiga,Lacticínios,74,2.08,1,5
2023-02-13,Café Grão,Mercearia,36,14.31,0,0
2023-12-20,Cerveja Pack 6,Bebidas,68,4.83,1,2
2023-12-12,Azeite Virgem,Mercearia,56,7.57,0,1
2023-07-16,Arroz Agulha,Mercearia,75,0.7,1,6
2023-03-02,Azeite Virgem,Mercearia,44,7.95,0,3
2023-11-28,Manteiga,Lacticínios,41,2.53,0,1
2023-12-25,Café Grão,Mercearia,67,8.02,1,0
2023-10-25,Café Grão,Mercearia,57,10.49,1,2
2023-12-23,Café Grão,Mercearia,66,11.42,0,5
2023-11-07,Arroz Agulha,Mercearia,58,0.99,0,1
2023-03-13,Café Grão,Mercearia,61,11.19,0,0
2023-05-22,Detergente Roupa,Limpeza,54,14.86,0,0
2023-04-22,Arroz Agulha,Mercearia,70,0.92,1,5
2023-05-29,Cerveja Pack 6,Bebidas,33,6.96,0,0
2023-08-09,Leite Meio Gordo,Lacticínios,54,0.93,0,2
2023-05-29,Arroz Agulha,Mercearia,51,1.68,0,0
2023-07-03,Detergente Roupa,Limpeza,24,18.62,0,0
2023-02-20,Café Grão,Mercearia,34,15.04,0,0
2023-04-25,Cerveja Pack 6,Bebidas,36,7.25,0,1
2023-06-06,Cerveja Pack 6,Bebidas,61,5.18,1,1
2023-06-26,Detergente Roupa,Limpeza,26,18.52,0,0
2023-05-29,Manteiga,Lacticínios,46,2.6,0,0
2023-04-06,Arroz Agulha,Mercearia,46,1.1,0,3
2023-03-07,Bolachas Maria,Mercearia,35,1.24,0,1
2023-12-21,Cerveja Pack 6,Bebidas,45,6.08,0,3
2023-03-12,Leite Meio Gordo,Lacticínios,54,0.86,0,6
2023-12-21,Bolachas Maria,Mercearia,45,1.21,0,3
2023-03-12,Bolachas Maria,Mercearia,57,1.25,0,6
2023-05-01,Bolachas Maria,Mercearia,53,1.15,0,0
2023-07-04,Manteiga,Lacticínios,32,3.08,0,1
2023-08-13,Arroz Agulha,Mercearia,54,1.13,0,6
2023-12-17,Azeite Virgem,Mercearia,53,7.93,0,6
2023-07-13,Café Grão,Mercearia,48,11.74,0,3
2023-10-04,Manteiga,Lacticínios,46,2.42,0,2
2023-09-10,Manteiga,Lacticínios,79,2.28,0,6
2023-07-27,Bolachas Maria,Mercearia,34,1.36,0,3
2023-10-18,Leite Meio Gordo,Lacticínios,53,0.93,0,2
2023-11-26,Detergente Roupa,Limpeza,33,18.63,0,6
2023-07-13,Cerveja Pack 6,Bebidas,45,5.87,0,3
2023-09-04,Café Grão,Mercearia,53,9.3,1,0
2023-09-29,Cerveja Pack 6,Bebidas,71,5.01,1,4
2023-08-21,Cerveja Pack 6,Bebidas,66,5.58,0,0
2023-03-17,Detergente Roupa,Limpeza,21,17.83,0,4
2023-09-15,Leite Meio Gordo,Lacticínios,64,0.8,1,4
2023-12-16,Bolachas Maria,Mercearia,49,1.1,0,5
2023-02-20,Bolachas Maria,Mercearia,52,1.21,0,0
2023-01-08,Café Grão,Mercearia,37,13.97,0,6
2023-06-02,Detergente Roupa,Limpeza,68,13.32,1,4
2023-10-06,Detergente Roupa,Limpeza,61,13.44,1,4
2023-07-18,Manteiga,Lacticínios,53,2.17,1,1
2023-02-27,Manteiga,Lacticínios,49,2.47,0,0
2023-08-27,Azeite Virgem,Mercearia,50,9.11,0,6
2023-03-18,Azeite Virgem,Mercearia,48,8.62,0,5
2023-12-25,Cerveja Pack 6,Bebidas,71,5.27,1,0
2023-02-22,Café Grão,Mercearia,38,14.04,0,2
2023-02-05,Bolachas Maria,Mercearia,100,0.75,1,6
2023-03-22,Azeite Virgem,Mercearia,43,7.81,0,2
2023-10-25,Leite Meio Gordo,Lacticínios,47,0.88,0,2
2023-01-18,Bolachas Maria,Mercearia,51,1.24,0,2
2023-06-25,Manteiga,Lacticínios,47,3.27,0,6
2023-10-22,Azeite Virgem,Mercearia,69,8.26,0,6
2023-06-02,Café Grão,Mercearia,32,13.37,0,4
2023-06-18,Cerveja Pack 6,Bebidas,38,6.96,0,6
2023-05-12,Azeite Virgem,Mercearia,51,7.22,0,4
2023-06-23,Bolachas Maria,Mercearia,64,1.13,0,4
2023-05-04,Azeite Virgem,Mercearia,48,8.01,0,3
2023-03-25,Bolachas Maria,Mercearia,63,1.03,1,5
2023-06-04,Bolachas Maria,Mercearia,55,1.12,0,6
2023-04-15,Detergente Roupa,Limpeza,59,15.85,0,5
2023-04-11,Bolachas Maria,Mercearia,35,1.27,0,1
2023-03-09,Manteiga,Lacticínios,55,2.2,1,3
2023-07-30,Arroz Agulha,Mercearia,59,0.95,1,6
2023-03-19,Arroz Agulha,Mercearia,67,1.15,0,6
2023-02-08,Café Grão,Mercearia,41,12.69,0,2
2023-09-01,Bolachas Maria,Mercearia,33,1.57,0,4
2023-07-28,Detergente Roupa,Limpeza,46,14.63,0,4
2023-02-18,Leite Meio Gordo,Lacticínios,41,0.99,0,5
2023-05-16,Manteiga,Lacticínios,35,2.82,0,1
2023-09-01,Leite Meio Gordo,Lacticínios,44,0.9,0,4
2023-11-01,Manteiga,Lacticínios,48,2.92,0,2
2023-01-21,Cerveja Pack 6,Bebidas,22,7.76,0,5
2023-11-25,Cerveja Pack 6,Bebidas,63,5.32,1,5
2023-07-30,Cerveja Pack 6,Bebidas,89,4.53,1,6
2023-07-12,Leite Meio Gordo,Lacticínios,52,0.84,0,2
2023-04-13,Café Grão,Mercearia,48,11.75,0,3
2023-04-20,Manteiga,Lacticínios,64,2.63,0,3
2023-10-08,Leite Meio Gordo,Lacticínios,61,1.02,0,6
2023-09-14,Detergente Roupa,Limpeza,33,17.5,0,3
2023-04-04,Detergente Roupa,Limpeza,31,17.12,0,1
2023-02-14,Leite Meio Gordo,Lacticínios,65,0.97,0,1
2023-09-02,Azeite Virgem,Mercearia,60,9.78,0,5
2023-08-26,Azeite Virgem,Mercearia,65,7.7,0,5
2023-08-07,Detergente Roupa,Limpeza,39,15.23,0,0
2023-02-23,Azeite Virgem,Mercearia,66,5.51,1,3
2023-10-26,Manteiga,Lacticínios,54,2.73,0,3
2023-05-23,Azeite Virgem,Mercearia,46,8.31,0,1
